 ,Area,Mean,Min,Max,X,Y,Slice
571,0,53,53,53,2744.966,459.732,14
572,0,36,36,36,2728.188,446.309,14
573,0,29,29,29,2708.054,439.597,14
574,0,53,53,53,2687.919,442.953,14
575,0,47,47,47,2728.188,463.087,14
576,0,42,42,42,2711.410,459.732,14
577,0,46,46,46,2697.987,456.376,14
578,0,22,22,22,2677.853,459.732,14
579,0,28,28,28,2661.074,453.020,14
580,0,8,8,8,2657.718,469.799,14
581,0,71,71,71,2681.208,486.577,14
582,0,76,76,76,2677.853,469.799,14
583,0,64,64,64,2701.342,473.154,14
584,0,75,75,75,2697.987,486.577,14
585,0,37,37,37,2721.477,479.866,14
586,0,40,40,40,2734.899,493.289,14
587,0,7,7,7,2691.275,530.201,14
588,0,7,7,7,2677.853,560.403,14
589,0,51,51,51,2671.141,530.201,14
590,0,30,30,30,2657.718,563.758,14
591,0,40,40,40,2644.295,560.403,14
592,0,66,66,66,2637.584,513.423,14
593,0,28,28,28,2617.450,523.490,14
594,0,36,36,36,2620.806,543.624,14
595,0,37,37,37,2624.161,560.403,14
596,0,5,5,5,2620.806,573.826,14
597,0,70,70,70,2600.671,550.336,14
598,0,26,26,26,2600.671,567.114,14
599,0,46,46,46,2597.315,526.846,14
600,0,14,14,14,2580.537,536.913,14
601,0,2,2,2,2580.537,567.114,14
602,0,40,40,40,2593.960,580.537,14
603,0,30,30,30,2597.315,473.154,14
604,0,10,10,10,2580.537,466.443,14
605,0,26,26,26,2590.604,486.577,14
606,0,24,24,24,2563.758,469.799,14
607,0,70,70,70,2557.047,486.577,14
608,0,56,56,56,2540.269,479.866,14
609,0,66,66,66,2543.624,506.711,14
610,0,32,32,32,2533.557,493.289,14
611,0,22,22,22,2577.181,496.644,14
612,0,12,12,12,2573.826,506.711,14
613,0,41,41,41,2590.604,506.711,14
614,0,15,15,15,2557.047,523.490,14
615,0,24,24,24,2557.047,540.268,14
616,0,1,1,1,2530.201,520.134,14
617,0,27,27,27,2513.423,516.779,14
618,0,85,85,85,2516.779,533.557,14
619,0,13,13,13,2530.201,540.268,14
620,0,13,13,13,2523.490,550.336,14
621,0,102,102,102,2500,453.020,14
622,0,14,14,14,2510.067,473.154,14
623,0,98,98,98,2503.356,483.221,14
624,0,95,95,95,2503.356,493.289,14
625,0,88,88,88,2496.645,506.711,14
626,0,32,32,32,2489.933,520.134,14
627,0,94,94,94,2483.222,533.557,14
628,0,81,81,81,2463.087,540.268,14
629,0,95,95,95,2456.376,553.691,14
630,0,56,56,56,2449.665,540.268,14
631,0,77,77,77,2463.087,523.490,14
632,0,76,76,76,2489.933,493.289,14
633,0,11,11,11,2489.933,473.154,14
634,0,40,40,40,2486.577,453.020,14
635,0,51,51,51,2469.799,459.732,14
636,0,12,12,12,2473.154,479.866,14
637,0,19,19,19,2473.154,493.289,14
638,0,63,63,63,2456.376,506.711,14
639,0,40,40,40,2449.665,493.289,14
640,0,15,15,15,2442.953,516.779,14
641,0,53,53,53,2436.242,540.268,14
642,0,75,75,75,2315.436,379.195,14
643,0,26,26,26,2389.262,557.047,14
644,0,70,70,70,2395.973,540.268,14
645,0,44,44,44,2224.832,550.336,14
646,0,51,51,51,2211.409,533.557,14
647,0,69,69,69,2214.765,516.779,14
648,0,102,102,102,2197.987,536.913,14
649,0,44,44,44,2201.342,553.691,14
650,0,58,58,58,2181.208,543.624,14
651,0,85,85,85,2221.477,500,14
652,0,86,86,86,2228.188,486.577,14
653,0,44,44,44,2208.054,473.154,14
654,0,87,87,87,2194.631,473.154,14
655,0,47,47,47,2184.564,456.376,14
656,0,88,88,88,2204.698,456.376,14
657,0,98,98,98,2218.121,456.376,14
658,0,46,46,46,2234.899,446.309,14
659,0,92,92,92,2218.121,439.597,14
660,0,98,98,98,2197.987,439.597,14
661,0,42,42,42,2194.631,426.174,14
662,0,83,83,83,2234.899,419.463,14
663,0,11,11,11,2154.362,439.597,14
664,0,33,33,33,2164.430,459.732,14
665,0,63,63,63,2140.939,459.732,14
666,0,37,37,37,2124.161,456.376,14
667,0,13,13,13,2161.074,476.510,14
668,0,7,7,7,2124.161,469.799,14
669,0,42,42,42,2144.295,486.577,14
670,0,49,49,49,2157.718,513.423,14
671,0,33,33,33,2134.228,513.423,14
672,0,40,40,40,2117.450,506.711,14
673,0,81,81,81,2147.651,530.201,14
674,0,7,7,7,2130.873,543.624,14
675,0,67,67,67,2124.161,553.691,14
676,0,53,53,53,2107.383,546.980,14
677,0,81,81,81,2107.383,526.846,14
678,0,29,29,29,2093.960,607.383,14
679,0,42,42,42,2077.181,392.617,14
